block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
88;nbody.i;;30.92;6.1;6.1;6.1;6.1;0;1;
183;nbody.i;;19.52;3.86;3.86;3.86;3.86;0;1;
182;nbody.i;;16.76;3.31;3.31;3.31;3.31;0;1;
181;nbody.i;;8.71;1.72;1.72;1.72;1.72;0;1;
180;nbody.i;;8.46;1.67;1.67;1.67;1.67;0;1;
86;nbody.i;;7.42;1.47;1.47;1.47;1.47;0;1;
87;nbody.i;;7.34;1.45;1.45;1.45;1.45;0;1;
176;nbody.i;;0.13;0.02;0.02;0.02;0.02;0;1;
89;nbody.i;;0.1;0.02;0.02;0.02;0.02;0;1;
82;nbody.i;;0.1;0.02;0.02;0.02;0.02;0;1;
184;nbody.i;;0.05;0.01;0.01;0.01;0.01;0;1;
162;nbody.i;;0.05;0.01;0.01;0.01;0.01;0;1;
169;nbody.i;;0.05;0.01;0.01;0.01;0.01;0;1;
68;nbody.i;;0.03;0;0;0;0;0;1;
75;nbody.i;;0.03;0;0;0;0;0;1;
135;nbody.i;;0.03;0;0;0;0;0;1;
