name;time_p;time_s;cpi_ratio;
/users/user2208/nbodyssh/v1icc/binaries/nbody.i;99.7;19.68;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.18;0.04;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.08;0.01;;
kernel;0.05;0.01;;
