loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2;nbody.i;main;6;;InBetween;0.18;0.03;;;;;;
16;nbody.i;main;6;;InBetween;0.15;0.03;;;;;;
0;nbody.i;main;6;;Outermost;0.05;0.01;;;;;;
21;nbody.i;main;6;;Innermost;0.03;0;;;;;;
