Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.02;99.97;0;40617.02;0;0.01;0;0;0;203.09;0;0;
knl07;_ALL;_ALL;0.02;99.97;0;40617.02;0;0.01;0;0;0;203.09;0;0;
knl07;470352;_ALL;0.02;99.97;0;40617.02;0;0.01;0;0;0;203.09;0;0;
knl07;470352;470352;0.02;99.97;0;40617.02;0;0.01;0;0;0;203.09;0;0;
