Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.15;99.7;0;3949;0;0.15;0;0;0;19.74;0;0;
knl07;_ALL;_ALL;0.15;99.7;0;3949;0;0.15;0;0;0;19.74;0;0;
knl07;617744;_ALL;0.15;99.7;0;3949;0;0.15;0;0;0;19.74;0;0;
knl07;617744;617744;0.15;99.7;0;3949;0;0.15;0;0;0;19.74;0;0;
