Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0011;1.0019;1.0023;1.0031;
2;1.0015;1.0024;1.0031;1.0041;
3;1.0018;1.0028;1.0039;1.0047;
4;1.0019;1.003;1.0043;1.005;
