Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.38;99.47;0;2641;0;0.11;0;0.04;0;13.2;0;0;
knl07;_ALL;_ALL;0.38;99.47;0;2641;0;0.11;0;0.04;0;13.2;0;0;
knl07;614695;_ALL;0.38;99.47;0;2641;0;0.11;0;0.04;0;13.2;0;0;
knl07;614695;614695;0.38;99.47;0;2641;0;0.11;0;0.04;0;13.2;0;0;
