name;time_p;time_s;cpi_ratio;
/users/user2208/nbodyssh/v3icc/binaries/nbody.i;99.47;13.13;;
/usr/lib/x86_64-linux-gnu/ld-2.31.so;0.19;0.02;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.19;0.02;;
kernel;0.15;0.02;;
