block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
81;nbody.i;;27.26;3.6;3.6;3.6;3.6;0;1;
125;nbody.i;;18.36;2.42;2.42;2.42;2.42;0;1;
84;nbody.i;;7.61;1;1;1;1;0;1;
128;nbody.i;;5.91;0.78;0.78;0.78;0.78;0;1;
126;nbody.i;;3.1;0.41;0.41;0.41;0.41;0;1;
82;nbody.i;;3.03;0.4;0.4;0.4;0.4;0;1;
77;nbody.i;;0.3;0.04;0.04;0.04;0.04;0;1;
66;nbody.i;;0.11;0.01;0.01;0.01;0.01;0;1;
121;nbody.i;;0.08;0.01;0.01;0.01;0.01;0;1;
110;nbody.i;;0.08;0.01;0.01;0.01;0.01;0;1;
68;nbody.i;;0.04;0;0;0;0;0;1;
52;nbody.i;;0.04;0;0;0;0;0;1;
53;nbody.i;;0.04;0;0;0;0;0;1;
105;nbody.i;;0.04;0;0;0;0;0;1;
