loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
7;nbody.i;main;6;;InBetween;0.45;0.06;0.06;0.06;0.06;0;1;
2;nbody.i;main;6;;InBetween;0.15;0.02;0.02;0.02;0.02;0;1;
11;nbody.i;main;6;;Single;0.08;0.01;0.01;0.01;0.01;0;1;
9;nbody.i;main;6;;Single;0.04;0;0;0;0;0;1;
