Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.12;99.8;0;5061;0;0.08;0;0;0;25.3;0;0;
knl07;_ALL;_ALL;0.12;99.8;0;5061;0;0.08;0;0;0;25.3;0;0;
knl07;616840;_ALL;0.12;99.8;0;5061;0;0.08;0;0;0;25.3;0;0;
knl07;616840;616840;0.12;99.8;0;5061;0;0.08;0;0;0;25.3;0;0;
