Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0009;1.0015;1.0026;1.0023;
2;1.0016;1.0025;1.0045;1.0038;
3;1.0018;1.0027;1.0048;1.0041;
