Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.43;99.2;0;1625;0;0.37;0;0;0;8.12;0;0;
knl07;_ALL;_ALL;0.43;99.2;0;1625;0;0.37;0;0;0;8.12;0;0;
knl07;613521;_ALL;0.43;99.2;0;1625;0;0.37;0;0;0;8.12;0;0;
knl07;613521;613521;0.43;99.2;0;1625;0;0.37;0;0;0;8.12;0;0;
