Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0005;1.0072;1.0671;1.2651;
2;1.0005;1.0098;1.0753;1.2679;
3;1.0005;1.011;1.0782;1.2679;
4;1.0005;1.011;1.081;1.2679;
