Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.91;0;4606.01;0;0.09;0;0;0;23.03;0;0;
knl07;_ALL;_ALL;0;99.91;0;4606.01;0;0.09;0;0;0;23.03;0;0;
knl07;467873;_ALL;0;99.91;0;4606.01;0;0.09;0;0;0;23.03;0;0;
knl07;467873;467873;0;99.91;0;4606.01;0;0.09;0;0;0;23.03;0;0;
