Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0001;1.0007;1.0011;1.0013;
2;1.0002;1.0009;1.0012;1.0015;
3;1.0002;1.0009;1.0013;1.0016;
4;1.0003;1.0009;1.0013;1.0017;
