Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0002;1.0054;1.0674;1.2666;
2;1.0003;1.007;1.0736;1.2677;
3;1.0004;1.0077;1.0754;1.2682;
4;1.0004;1.0078;1.0766;1.2684;
5;1.0004;1.0079;1.0772;1.2684;
6;1.0004;1.0079;1.0774;1.2684;
