loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
5;nbody.g;move_particles;9;;Innermost;96.66;5.5;;;;;;
6;nbody.g;move_particles;9;;Innermost;1.67;0.1;;;;;;
4;nbody.g;move_particles;9;;Outermost;0.7;0.04;;;;;;
3;nbody.g;move_particles;9;;Innermost;0.44;0.02;;;;;;
2;nbody.g;init;8;;Single;0.18;0.01;;;;;;
