block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
107;nbody.g;;96.66;5.5;5.5;5.5;5.5;0;1;
105;nbody.g;;1.67;0.1;0.1;0.1;0.1;0;1;
108;nbody.g;;0.44;0.02;0.02;0.02;0.02;0;1;
111;nbody.g;;0.44;0.02;0.02;0.02;0.02;0;1;
109;nbody.g;;0.18;0.01;0.01;0.01;0.01;0;1;
100;nbody.g;;0.09;0;0;0;0;0;1;
86;nbody.g;;0.09;0;0;0;0;0;1;
93;nbody.g;;0.09;0;0;0;0;0;1;
