Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0013;1.0159;1.0159;1.107;
2;1.0022;1.0202;1.0222;1.1124;
3;1.0022;1.0235;1.0265;1.1142;
4;1.0022;1.0243;1.0283;1.1142;
5;1.0022;1.0243;1.0283;1.1142;
