Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0004;1.0163;1.0163;1.1081;
2;1.0004;1.0192;1.0192;1.1097;
3;1.0004;1.0202;1.021;1.1097;
4;1.0004;1.0202;1.021;1.1097;
