loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
5;nbody.g;move_particles;9;;Innermost;98.48;22.68;22.68;22.68;22.68;0;1;
6;nbody.g;move_particles;9;;Innermost;0.8;0.18;0.19;0.19;0.19;0;1;
4;nbody.g;move_particles;9;;Outermost;0.28;0.06;0.06;0.06;0.06;0;1;
3;nbody.g;move_particles;9;;Innermost;0.28;0.06;0.06;0.06;0.06;0;1;
