function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
6;nbody.i;main;;99.2;8.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.31;0.02;;;;;;"0,0,0,0,100,0,0,0,0,0";
233;libc-2.31.so;random_r;;0.25;0.02;;;;;;"0,0,0,0,0,0,0,0,0,100";
229;libc-2.31.so;random;;0.12;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
1856;libc-2.31.so;_dl_addr;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;0.06;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
