block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
123;nbody.i;;24.6;6.22;;;;;;
82;nbody.i;;23.87;6.04;;;;;;
81;nbody.i;;23.49;5.95;;;;;;
126;nbody.i;;22.78;5.77;;;;;;
124;nbody.i;;1.24;0.31;;;;;;
119;nbody.i;;0.24;0.06;;;;;;
77;nbody.i;;0.16;0.04;;;;;;
110;nbody.i;;0.06;0.01;;;;;;
68;nbody.i;;0.06;0.01;;;;;;
108;nbody.i;;0.02;0;;;;;;
48;nbody.i;;0.02;0;;;;;;
49;nbody.i;;0.02;0;;;;;;
