block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
123;nbody.i;;24.6;6.22;6.22;6.22;6.22;0;1;
82;nbody.i;;23.87;6.04;6.04;6.04;6.04;0;1;
81;nbody.i;;23.49;5.95;5.95;5.95;5.95;0;1;
126;nbody.i;;22.78;5.77;5.77;5.77;5.77;0;1;
124;nbody.i;;1.24;0.31;0.31;0.31;0.31;0;1;
119;nbody.i;;0.24;0.06;0.06;0.06;0.06;0;1;
77;nbody.i;;0.16;0.04;0.04;0.04;0.04;0;1;
110;nbody.i;;0.06;0.01;0.01;0.01;0.01;0;1;
68;nbody.i;;0.06;0.01;0.01;0.01;0.01;0;1;
108;nbody.i;;0.02;0;0;0;0;0;1;
48;nbody.i;;0.02;0;0;0;0;0;1;
49;nbody.i;;0.02;0;0;0;0;0;1;
