loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
4;nbody.i;main;6;;Innermost;50.9;12.88;;;;;;
9;nbody.i;main;6;;Innermost;48.33;12.23;;;;;;
2;nbody.i;main;6;;InBetween;0.32;0.08;;;;;;
7;nbody.i;main;6;;InBetween;0.22;0.05;;;;;;
11;nbody.i;main;6;;Single;0.04;0.01;;;;;;
