Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.8;0;994;0;0.2;0;0;0;4.97;0;0;
knl07;_ALL;_ALL;0;99.8;0;994;0;0.2;0;0;0;4.97;0;0;
knl07;466678;_ALL;0;99.8;0;994;0;0.2;0;0;0;4.97;0;0;
knl07;466678;466678;0;99.8;0;994;0;0.2;0;0;0;4.97;0;0;
