loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
6;nbody.g;move_particles;9;;Innermost;98.93;32.87;32.87;32.87;32.87;0;1;
7;nbody.g;move_particles;9;;Innermost;0.6;0.2;0.2;0.2;0.2;0;1;
3;nbody.g;move_particles;9;;Innermost;0.18;0.06;0.06;0.06;0.06;0;1;
5;nbody.g;move_particles;9;;Outermost;0.12;0.04;0.04;0.04;0.04;0;1;
4;nbody.g;move_particles;9;;Single;0.05;0.01;0.01;0.01;0.01;0;1;
2;nbody.g;init;8;;Single;0.02;0;0;0;0;0;1;
