Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.03;99.89;0;6644.03;0;0.08;0;0;0;33.22;0;0;
knl07;_ALL;_ALL;0.03;99.89;0;6644.03;0;0.08;0;0;0;33.22;0;0;
knl07;468830;_ALL;0.03;99.89;0;6644.03;0;0.08;0;0;0;33.22;0;0;
knl07;468830;468830;0.03;99.89;0;6644.03;0;0.08;0;0;0;33.22;0;0;
